Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
 disaat semua cowok berusaha melacak perhatian gue loe lantas remehkan perhatian yg gue kasih khusus ke elo basic elo cowok bego   ,1,1,1,0,0,0,0,0,1,1,0,0
   siapa yang telat ngasih tau eluedan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga,0,1,0,0,0,0,0,0,0,0,0,0
 kadang aku berfikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkalikali kadang aku merasa tuhan itu ninggalkan aku sendirian ketika orangtuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
  aku itu akunnku tau matamu sipit tapi diliat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
  kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah,1,1,0,1,1,0,0,0,0,0,1,0
 ya bani taplak dkk ,1,1,0,1,0,0,0,0,1,0,1,0
deklarasi pilkada  aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
gue baru aja kelar rewatch aldnoah zero paling kampret emang endingnya  karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0,0,0,0,0,0,0,0
nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kaw kaw   doket mano tu  gerai rojak mertuaku  taipan  depan twins baby amp romantika  bank islam senawang ,0,0,0,0,0,0,0,0,0,0,0,0
 enak lg klo smbil ngewe,0,1,0,0,0,0,0,0,0,0,0,0
setidaknya gw punya jari tengah buat lu sebelom gw ukur nyali sama bacot lu xfxfxxf,1,1,1,0,0,0,0,0,1,1,0,0
    banci kaleng malu ga bisa jawab pertanyaan kami dari  hari lalu nyungsep koe  url,1,1,1,0,0,0,0,1,0,1,0,0
kalo belajar ekonomi mestinya jago memprivatisasi hati orang duh ironi ,0,0,0,0,0,0,0,0,0,0,0,0
aktor huruhara  prabowo s ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
 bu guru enakan jadi jablay atau guru esde sihnkayaknya menikmati jadi pecun ini guru,1,1,1,0,0,0,0,1,0,1,0,0
      lawan bicara gw gak intelek kyk loe yg otak gak punya ttg kencing onta gw mengakui hadis nabi dan itu sahih kafir kyk loe pasti menolak makanya loe ahlunnar,1,1,1,0,1,0,0,0,0,1,0,0
belakangan ini kok fikiran ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0
ari sarua beki mah repeh monyetxfxfxxxfxfxx,0,1,0,0,0,0,0,0,0,0,0,0
jadi cowo itu harus gantle kalo ga gantle itu namanya banci ,1,1,0,1,0,0,0,1,0,0,1,0
 slga mnr bom ,0,0,0,0,0,0,0,0,0,0,0,0
asw ya tapi gua jarang ngambek tacut wkkwkwkwkw gua kan bucin,0,1,0,0,0,0,0,0,0,0,0,0
